GraphType,Method,Size,TimeNs
ALGraph,addVertex,100,507000
ALGraph,addEdge,100,1465125
ALGraph,hasVertex,100,37792
ALGraph,hasEdge(edge),100,471541
ALGraph,hasEdge(vertices),100,2837417
ALGraph,getEdge,100,1089083
ALGraph,getEdgeLength,100,1418208
ALGraph,getVertices,100,40833
ALGraph,getEdges,100,134417
ALGraph,getEdges(vertex),100,285250
ALGraph,getNeighbors,100,230875
ALGraph,getTotalEdgeLength,100,34084
ALGraph,removeEdge,100,505709
ALGraph,remove(vertex),100,137250
AMGraph,addVertex,100,364833
AMGraph,addEdge,100,434000
AMGraph,hasVertex,100,12625
AMGraph,hasEdge(edge),100,104292
AMGraph,hasEdge(vertices),100,182375
AMGraph,getEdge,100,5312958
AMGraph,getEdgeLength,100,99792
AMGraph,getVertices,100,24458
AMGraph,getEdges,100,104417
AMGraph,getEdges(vertex),100,5843500
AMGraph,getNeighbors,100,10627083
AMGraph,getTotalEdgeLength,100,35083
AMGraph,removeEdge,100,198500
AMGraph,remove(vertex),100,2232083
ALGraph,addVertex,1000,283000
ALGraph,addEdge,1000,2293083
ALGraph,hasVertex,1000,180708
ALGraph,hasEdge(edge),1000,751917
ALGraph,hasEdge(vertices),1000,3215917
ALGraph,getEdge,1000,2063250
ALGraph,getEdgeLength,1000,2831750
ALGraph,getVertices,1000,140334
ALGraph,getEdges,1000,2006542
ALGraph,getEdges(vertex),1000,1441500
ALGraph,getNeighbors,1000,1437542
ALGraph,getTotalEdgeLength,1000,303041
ALGraph,removeEdge,1000,1346125
ALGraph,remove(vertex),1000,342375
AMGraph,addVertex,1000,4717792
AMGraph,addEdge,1000,1797209
AMGraph,hasVertex,1000,86583
AMGraph,hasEdge(edge),1000,1077708
AMGraph,hasEdge(vertices),1000,1002833
AMGraph,getEdge,1000,145071333
AMGraph,getEdgeLength,1000,678167
AMGraph,getVertices,1000,80334
AMGraph,getEdges,1000,347334
AMGraph,getEdges(vertex),1000,87357167
AMGraph,getNeighbors,1000,222507916
AMGraph,getTotalEdgeLength,1000,299667
AMGraph,removeEdge,1000,487833
AMGraph,remove(vertex),1000,15427625
ALGraph,addVertex,5000,396375
ALGraph,addEdge,5000,13198250
ALGraph,hasVertex,5000,134625
ALGraph,hasEdge(edge),5000,1036000
ALGraph,hasEdge(vertices),5000,17599291
ALGraph,getEdge,5000,22025166
ALGraph,getEdgeLength,5000,22810125
ALGraph,getVertices,5000,150125
ALGraph,getEdges,5000,4303875
ALGraph,getEdges(vertex),5000,8339084
ALGraph,getNeighbors,5000,7475417
ALGraph,getTotalEdgeLength,5000,3042208
ALGraph,removeEdge,5000,5030958
ALGraph,remove(vertex),5000,1020375
AMGraph,addVertex,5000,245103916
AMGraph,addEdge,5000,8700958
AMGraph,hasVertex,5000,276458
AMGraph,hasEdge(edge),5000,4791000
AMGraph,hasEdge(vertices),5000,6721000
AMGraph,getEdge,5000,5264818916
AMGraph,getEdgeLength,5000,6908917
AMGraph,getVertices,5000,724166
AMGraph,getEdges,5000,2810625
AMGraph,getEdges(vertex),5000,2037889875
AMGraph,getNeighbors,5000,7432770750
AMGraph,getTotalEdgeLength,5000,455917
AMGraph,removeEdge,5000,56262083
AMGraph,remove(vertex),5000,330068167
